,accounts,ch,chamber,id,name,party,screen_name,state,type
85,"{'office': [{'id': 1071102246, 'id_str': '1071102246', 'screen_name': 'RepHuffman'}], 'campaign': [{'id': 334894942, 'id_str': '334894942', 'screen_name': 'JaredHuffman'}], 'index': 53}",yes,house,"{'bioguide': 'H001068', 'govtrack': 412511}",Jared Huffman,D,JaredHuffman,CA,member
86,"{'office': [{'id': 248699486, 'id_str': '248699486', 'screen_name': 'RepJeffDenham'}], 'campaign': [{'id': 21346398, 'id_str': '21346398', 'screen_name': 'JeffDenham'}], 'index': 54}",no,house,"{'bioguide': 'D000612', 'govtrack': 412403}",Jeff Denham,R,RepJeffDenham,CA,member
87,"{'office': [{'id': 248699486, 'id_str': '248699486', 'screen_name': 'RepJeffDenham'}], 'campaign': [{'id': 21346398, 'id_str': '21346398', 'screen_name': 'JeffDenham'}], 'index': 54}",yes,house,"{'bioguide': 'D000612', 'govtrack': 412403}",Jeff Denham,R,JeffDenham,CA,member
88,"{'office': [{'id': 385429543, 'id_str': '385429543', 'screen_name': 'RepMcNerney'}], 'campaign': [{'id': 176512266, 'id_str': '176512266', 'screen_name': 'jerrymcnerney'}], 'index': 55}",no,house,"{'bioguide': 'M001166', 'govtrack': 412189}",Jerry McNerney,D,RepMcNerney,CA,member
89,"{'office': [{'id': 385429543, 'id_str': '385429543', 'screen_name': 'RepMcNerney'}], 'campaign': [{'id': 176512266, 'id_str': '176512266', 'screen_name': 'jerrymcnerney'}], 'index': 55}",yes,house,"{'bioguide': 'M001166', 'govtrack': 412189}",Jerry McNerney,D,jerrymcnerney,CA,member
90,"{'office': [{'id': 245451804, 'id_str': '245451804', 'screen_name': 'RepJimCosta'}], 'index': 56}",no,house,"{'bioguide': 'C001059', 'govtrack': 400618}",Jim Costa,D,RepJimCosta,CA,member
91,"{'campaign': [{'id': 398193180, 'id_str': '398193180', 'screen_name': 'JimmyGomezCA'}], 'office': [{'id': 2371339658, 'id_str': '2371339658', 'screen_name': 'RepJimmyGomez'}], 'index': 57}",no,house,"{'bioguide': 'G000585', 'govtrack': 412739}",Jimmy Gomez,D,RepJimmyGomez,CA,member
92,"{'campaign': [{'id': 398193180, 'id_str': '398193180', 'screen_name': 'JimmyGomezCA'}], 'office': [{'id': 2371339658, 'id_str': '2371339658', 'screen_name': 'RepJimmyGomez'}], 'index': 57}",yes,house,"{'bioguide': 'G000585', 'govtrack': 412739}",Jimmy Gomez,D,JimmyGomezCA,CA,member
93,"{'office': [{'id': 796736612554117100, 'id_str': '796736612554117120', 'screen_name': 'RepJimmyPanetta'}], 'campaign': [{'id': 4228409359, 'id_str': '4228409359', 'screen_name': 'JimmyPanetta'}], 'index': 58}",no,house,"{'bioguide': 'P000613', 'govtrack': 412685}",Jimmy Panetta,D,RepJimmyPanetta,CA,member
94,"{'office': [{'id': 796736612554117100, 'id_str': '796736612554117120', 'screen_name': 'RepJimmyPanetta'}], 'campaign': [{'id': 4228409359, 'id_str': '4228409359', 'screen_name': 'JimmyPanetta'}], 'index': 58}",yes,house,"{'bioguide': 'P000613', 'govtrack': 412685}",Jimmy Panetta,D,JimmyPanetta,CA,member
