,ch,chamber,name,party,screen_name,state,type
393,yes,house,Justin Amash,R,teamamash,MI,member
394,no,house,Mike Bishop,R,RepMikeBishop,MI,member
395,yes,house,Mike Bishop,R,ElectMikeBishop,MI,member
396,yes,house,Mike Bishop,R,MikeBishopMI,MI,member
397,no,house,Paul Mitchell,R,RepPaulMitchell,MI,member
398,no,house,Sander Levin,D,repsandylevin,MI,member
399,yes,house,Sander Levin,D,Levin4Congress,MI,member
400,no,house,Tim Walberg,R,RepWalberg,MI,member
401,yes,house,Tim Walberg,R,TimWalberg,MI,member
402,no,house,Betty McCollum,D,BettyMcCollum04,MN,member
403,yes,house,Collin Peterson,D,collinpeterson,MN,member
404,no,house,Erik Paulsen,R,RepErikPaulsen,MN,member
405,yes,house,Erik Paulsen,R,Erik_Paulsen,MN,member
406,no,house,Jason Lewis,R,RepJasonLewis,MN,member
407,yes,house,Jason Lewis,R,Jason2CD,MN,member
408,no,house,Keith Ellison,D,keithellison,MN,member
409,yes,house,Keith Ellison,D,EllisonCampaign,MN,member
410,no,house,Rick Nolan,D,USRepRickNolan,MN,member
411,no,house,Tim Walz,D,RepTimWalz,MN,member
412,no,house,Tom Emmer,R,RepTomEmmer,MN,member
413,yes,house,Tom Emmer,R,EMMERPAC,MN,member
414,yes,house,Tom Emmer,R,tomemmer,MN,member
415,no,house,Ann Wagner,R,RepAnnWagner,MO,member
416,yes,house,Ann Wagner,R,AnnLWagner,MO,member
417,no,house,Billy Long,R,USRepLong,MO,member
418,yes,house,Billy Long,R,auctnr1,MO,member
419,no,house,Blaine Luetkemeyer,R,RepBlainePress,MO,member
420,yes,house,Blaine Luetkemeyer,R,LuetkemeyerB,MO,member
421,no,house,Emanuel Cleaver,D,repcleaver,MO,member
422,yes,house,Emanuel Cleaver,D,Vote4Cleaver,MO,member
423,no,house,Jason Smith,R,RepJasonSmith,MO,member
424,yes,house,Jason Smith,R,JasonSmithMO,MO,member
425,yes,house,Lacy Clay,D,LacyClayMO1,MO,member
426,no,house,Sam Graves,R,RepSamGraves,MO,member
427,no,house,Vicky Hartzler,R,RepHartzler,MO,member
428,yes,house,Vicky Hartzler,R,VickyHartzler,MO,member
429,yes,house,Vicky Hartzler,R,VickyH4Congress,MO,member
430,no,house,Bennie Thompson,D,BennieGThompson,MS,member
431,no,house,Gregg Harper,R,GreggHarper,MS,member
432,yes,house,Gregg Harper,R,HarperCampaign,MS,member
433,no,house,Steven Palazzo,R,CongPalazzo,MS,member
434,yes,house,Steven Palazzo,R,StevenPalazzo,MS,member
435,no,house,Trent Kelly,R,RepTrentKelly,MS,member
436,yes,house,Trent Kelly,R,KellyforMS01,MS,member
437,no,house,Greg Gianforte,R,gianforte,MT,member
438,yes,house,Greg Gianforte,R,GregForMontana,MT,member
439,no,house,Alma Adams,D,RepAdams,NC,member
